I2VKSNImpression 2 V CM IQ SUN 1.60 GN        20140401        3110010012159701304050100010000011010140000000000101198                   000000
I2VKSOImpr. 2 V CM IQ CO SUN 1.60 OR          20140401        3110010012159701304050100010000011010140000000000101261                   000000
I2VKSRImpr. 2 V CM IQ CO SUN 1.60 BN          20140401        3110010012159701304050100010000011010140000000000101219                   000000
I2VKSYImpression 2 V CM IQ SUN 1.60 GY        20140401        3110010012159701304050100010000011010140000000000101177                   000000
I2VP  Impression 2 V 1.50                     20130401        3110010012150201325820100000000011010135000000000121311                   000000
I2VPNBImpression 2 V CM IQ 1.54 BN            20130401        3110010012153801214630100010000011010140000000000121277                   000000
I2VPNYImpression 2 V CM IQ 1.54 GY            20130401        3110010012153801214630100010000011010140000000000121290                   000000
I2VS  Impression 2 V Silikat 1.6              20130401        3110010011160402674380100000000011010133000000000121914                   000000
I2VSCGImpression 2 V Silikat CM 1.60 grey     20130401        3110010011160402754280100010000011010135000000000121931                   300000
I2VSCHImpression 2 V Silikat CM 1.60 brown    20130401        3110010011160402754280100010000011010135000000000121930                   300000
I3FG  Impr. FS 3 1.74                         20140915        3110010012174001473250100000000011010100000000000121000                   000000
I3FH  Impr. FS 3 1.67                         20140915        3110010012166801373140100000000011010100000000000121015                   000000
I3FHNBImpr. FS 3 CM IQ 1.67 BN                20140915        3110010012166801373140100010000011010140000000000121037                   000000
I3FHNYImpr. FS 3 CM IQ 1.67 GY                20140915        3110010012166801373140100010000011010140000000000121061                   000000
I3FK  Impr. FS 3 1.60                         20140915        3110010012159701304050100000000011010138000000000121300                   000000
I3FKNBImpr. FS 3 CM IQ 1.60 BN                20140915        3110010012159701304050100010000011010140000000000121085                   000000
I3FKNNImpr. FS 3 CM IQ 1.60 GN                20140915        3110010012159701304050100010000011010140000000000121127                   000000
I3FKNYImpr. FS 3 CM IQ 1.60 GY                20140915        3110010012159701304050100010000011010140000000000121106                   000000
I3FKSBImpr. FS 3 CM IQ SUN 1.60 BN            20140915        3110010012159701304050100010000011010140000000000101148                   000000
I3FKSGImpr. FS 3 CM IQ CO SUN 1.60 GN         20140915        3110010012159701304050100010000011010140000000000101232                   000000
I3FKSNImpr. FS 3 CM IQ SUN 1.60 GN            20140915        3110010012159701304050100010000011010140000000000101190                   000000
I3FKSOImpr. FS 3 CM IQ CO SUN 1.60 OR         20140915        3110010012159701304050100010000011010140000000000101253                   000000
I3FKSRImpr. FS 3 CM IQ CO SUN 1.60 BN         20140915        3110010012159701304050100010000011010140000000000101211                   000000
I3FKSYImpr. FS 3 CM IQ SUN 1.60 GY            20140915        3110010012159701304050100010000011010140000000000101169                   000000
I3GG  Impr. FS 3 Allround 1.74                20140915        3110010012174001473250100000000011010100000000000121002                   000000
I3GH  Impr. FS 3 Allround 1.67                20140915        3110010012166801373140100000000011010100000000000121017                   000000
I3GHNBImpr. FS 3 Allround CM IQ 1.67 BN       20140915        3110010012166801373140100010000011010140000000000121039                   000000
I3GHNYImpr. FS 3 Allround CM IQ 1.67 GY       20140915        3110010012166801373140100010000011010140000000000121063                   000000
I3GK  Impr. FS 3 Allround 1.60                20140915        3110010012159701304050100000000011010138000000000121302                   000000
I3GKNBImpr. FS 3  Allround CM IQ 1.60 BN      20140915        3110010012159701304050100010000011010140000000000121087                   000000
I3GKNNImpr. FS 3  Allround CM IQ 1.60 GN      20140915        3110010012159701304050100010000011010140000000000121129                   000000
